Date,Open,High,Low,Close,Adj Close,Volume
2011-04-11,5457600.000000,5653440.000000,5439360.000000,5603520.000000,5215137.500000,2
2011-04-12,5759040.000000,6042240.000000,5755200.000000,5954880.000000,5542144.000000,2
2011-04-13,5832960.000000,6019200.000000,5768640.000000,5907840.000000,5498364.500000,3
2011-04-14,6048000.000000,6145920.000000,5881920.000000,5884800.000000,5476921.500000,2
2011-04-15,5928960.000000,6024000.000000,5718720.000000,5773440.000000,5373280.000000,2
2011-04-18,6037440.000000,6215040.000000,5984640.000000,6082560.000000,5660975.500000,3
2011-04-19,6115200.000000,6161280.000000,5987520.000000,6007680.000000,5591285.500000,1
2011-04-20,5466240.000000,5508480.000000,5232000.000000,5238720.000000,4875622.500000,2
2011-04-21,5144640.000000,5313600.000000,5124480.000000,5248320.000000,4884556.000000,1
2011-04-25,5205120.000000,5287680.000000,5148480.000000,5232000.000000,4869368.500000,1
2011-04-26,5186880.000000,5212800.000000,4959360.000000,4989120.000000,4643322.000000,2
2011-04-27,5040000.000000,5154240.000000,4953600.000000,4990080.000000,4644216.000000,2
2011-04-28,5028480.000000,5170560.000000,4976640.000000,5071680.000000,4720159.500000,1
2011-04-29,5088000.000000,5088000.000000,4980480.000000,5005440.000000,4658510.500000,1
2011-05-02,4941120.000000,5184000.000000,4941120.000000,5153280.000000,4796103.500000,1
2011-05-03,5218560.000000,5441280.000000,5178240.000000,5349120.000000,4978370.000000,2
2011-05-04,5273280.000000,5527680.000000,5204160.000000,5332800.000000,4963180.500000,2
2011-05-05,5413440.000000,5436480.000000,5138880.000000,5304000.000000,4936377.000000,2
2011-05-06,5114880.000000,5240640.000000,5001600.000000,5186880.000000,4827375.500000,1
2011-05-09,5211840.000000,5335680.000000,5178240.000000,5225280.000000,4863114.000000,1
2011-05-10,5212800.000000,5241600.000000,5104320.000000,5157120.000000,4799677.500000,1
2011-05-11,5136000.000000,5365440.000000,5073600.000000,5272320.000000,4906892.500000,1
2011-05-12,5346240.000000,5361600.000000,5006400.000000,5056320.000000,4705864.500000,1
2011-05-13,5088960.000000,5256000.000000,5035200.000000,5250240.000000,4886343.000000,1
2011-05-16,5296320.000000,5486400.000000,5131200.000000,5470080.000000,5090947.000000,1
2011-05-17,5528640.000000,5816640.000000,5528640.000000,5664000.000000,5271426.000000,2
2011-05-18,5602560.000000,5615040.000000,5289600.000000,5352960.000000,4981944.000000,1
2011-05-19,5424000.000000,5623680.000000,5415360.000000,5477760.000000,5098093.500000,1
2011-05-20,5458560.000000,5616000.000000,5440320.000000,5523840.000000,5140980.500000,1
2011-05-23,5736000.000000,5875200.000000,5736000.000000,5872320.000000,5465307.000000,2
2011-05-24,5802240.000000,6010560.000000,5760960.000000,6002880.000000,5586817.500000,1
2011-05-25,6069120.000000,6105600.000000,5774400.000000,5838720.000000,5434035.500000,1
2011-05-26,5857920.000000,5918400.000000,5639040.000000,5673600.000000,5280360.500000,1
2011-05-27,5548800.000000,5548800.000000,5411520.000000,5468160.000000,5089158.500000,1
2011-05-31,5291520.000000,5380800.000000,5226240.000000,5229120.000000,4866687.500000,2
2011-06-01,5257920.000000,5699520.000000,5255040.000000,5692800.000000,5298230.000000,1
2011-06-02,5661120.000000,5769600.000000,5529600.000000,5694720.000000,5300015.500000,1
2011-06-03,5850240.000000,6011520.000000,5748480.000000,5996160.000000,5580563.000000,1
2011-06-06,6027840.000000,6144000.000000,5937600.000000,6133440.000000,5708328.500000,1
